,logFC,logCPM,PValue,FDR
LOC105375422,3.660828,-3.409538,5.27E-07,1.90E-06
LOC107984180,3.660767,-4.90217,0.01775912,0.02907721
JUN,3.660736,5.027127,2.65E-22,3.83E-21
CPS1,3.660649,-1.873661,4.13E-12,2.71E-11
LOC105369571,3.660392,-4.903263,0.02412144,0.03839542
RNU5F-1,3.660012,-3.551686,2.80E-08,1.21E-07
LOC105378693,3.659673,-4.902376,0.01774576,0.02905661
LINC02568,3.659509,-4.903292,0.02454906,0.0390176
LOC105369386,3.659452,-4.899739,0.0125796,0.02126813
LOC101929343,3.659009,-4.902393,0.01758128,0.02881136
LOC102724804,3.658907,-4.903443,0.0241248,0.03839902
LOC101927896,3.658366,-4.562075,0.000306214,0.000710208
LOC112268212,3.658361,-4.901541,0.01482961,0.02468385
PCNP,3.658203,6.329776,2.73E-65,2.29E-63
MRS2P2,3.657925,1.452105,5.07E-44,2.06E-42
LOC107984553,3.657588,-4.903581,0.02464206,0.03914369
LOC102724738,3.65756,-4.901796,0.01493582,0.02484123
PRR23B,3.656483,-4.904033,0.0241185,0.03839542
LOC105375557,3.65639,-4.903847,0.02407382,0.03833261
SIX1,3.656293,-4.091249,1.07E-06,3.70E-06
PCDHB8,3.65616,-4.903069,0.02322087,0.03707753
LOC107984010,3.656148,-4.903589,0.02051116,0.03315197
PRSS55,3.655741,-4.90293,0.02238397,0.03585036
LOC105377401,3.655657,-4.90298,0.01742514,0.02859197
LOC107986787,3.65541,-4.903538,0.02028162,0.03280063
LOC107984802,3.655195,-4.904255,0.02494644,0.03958383
LOC107987011,3.655137,-4.904268,0.02419512,0.03849999
LOC107985036,3.654962,-4.904056,0.02448896,0.0389304
LINC01535,3.654776,-3.794822,2.13E-06,7.04E-06
LINC02219,3.654553,-4.903967,0.0209713,0.03383079
LOC105379743,3.65449,-4.903076,0.01716931,0.02822193
LOC101929161,3.65444,-4.902439,0.01481375,0.02466022
LY6D,3.654278,-4.90232,0.01901742,0.03093883
LINC00583,3.654205,-4.902349,0.01904387,0.03097915
TEX38,3.654199,-2.268697,1.21E-16,1.18E-15
LOC105377395,3.653568,-3.677881,2.69E-06,8.77E-06
LOC107987114,3.653394,-4.903538,0.01751595,0.02872199
LOC105371325,3.653312,-4.903887,0.02077489,0.03354883
TRIM67,3.653304,-2.589564,5.57E-14,4.36E-13
BMS1P21,3.652737,-4.903701,0.01796741,0.02937819
LOC105373888,3.652717,-4.904477,0.02448145,0.03892012
LOC107984197,3.652563,-4.903595,0.022871,0.03655493
