,logFC,logCPM,PValue,FDR
KCNJ15,-7.789017657,3.872773301,3.23E-81,4.23E-79
LSM14B,-3.498685993,1.834360128,6.26E-81,8.18E-79
MAFK,-3.76666298,1.673761978,8.89E-81,1.16E-78
RAVER1,-3.164062871,3.434026731,9.42E-81,1.22E-78
AKNA,-2.330675262,6.484716056,1.12E-80,1.45E-78
LFNG,-3.853150729,4.077533865,1.50E-80,1.93E-78
SART1,-3.101191009,4.092668289,2.80E-80,3.58E-78
CCDC9,-3.653921199,2.438152386,7.59E-80,9.67E-78
LIMK1,-2.972696644,2.97514279,1.00E-79,1.28E-77
FIZ1,-3.659556021,0.748177432,1.55E-79,1.96E-77
ESRRA,-3.470623742,2.246694858,1.94E-79,2.45E-77
HOMER3,-5.680361298,1.498724773,1.99E-79,2.51E-77
CTU1,-5.078626748,0.261586742,2.53E-79,3.18E-77
PPP4C,-3.264699937,4.243264605,3.23E-79,4.04E-77
RPS26,-3.937610402,4.395862904,3.75E-79,4.67E-77
VNN2,-5.318238508,5.323838569,6.25E-79,7.76E-77
PLXNC1,-3.742502357,3.635373675,9.35E-79,1.16E-76
SEMA4B,-3.821448287,3.159285398,1.10E-78,1.36E-76
RN7SK,-5.585628726,3.366555849,1.81E-78,2.22E-76
MMP25-AS1,-4.046794123,2.54783483,1.90E-78,2.33E-76
ALPL,-10.44432221,5.514365814,2.15E-78,2.62E-76
BMF,-4.401746727,1.823497437,3.98E-78,4.85E-76
YBX3,-8.125780054,6.331164482,5.97E-78,7.24E-76
PRR14,-2.710851207,3.417297998,2.19E-77,2.64E-75
KCTD17,-3.695630483,1.033425587,2.56E-77,3.07E-75
SCAMP4,-2.960558764,2.491508408,2.56E-77,3.07E-75
GNAS,-2.873639107,6.798364644,7.11E-77,8.49E-75
GUCD1,-2.664744591,4.241291055,7.25E-77,8.63E-75
HELZ2,-5.001333702,4.912951041,7.32E-77,8.68E-75
KIF1C,-3.114943641,2.654636983,1.66E-76,1.96E-74
PICALM,-2.931682149,4.403263329,2.38E-76,2.81E-74
TPRG1L,-2.868730129,3.140719219,2.73E-76,3.21E-74
POU2F2,-3.06152053,4.478394503,4.03E-76,4.70E-74
DGAT2,-8.213726952,3.990174805,4.84E-76,5.63E-74
