,logFC,logCPM,PValue,FDR
UBE4A,1.252462569,4.65743246,1.05E-10,3.25E-09
PCGF3,1.149599157,4.359837736,1.07E-10,3.29E-09
LRRFIP2,1.401178287,4.413681083,1.09E-10,3.36E-09
CHUK,1.387708149,2.96666898,1.12E-10,3.44E-09
PPP4R1L,1.751486139,1.770600654,1.15E-10,3.52E-09
GOLGA1,1.370400975,4.050383806,1.15E-10,3.52E-09
PLEKHM3,1.544490233,2.810591569,1.15E-10,3.52E-09
MPP7,1.827548317,3.23999293,1.20E-10,3.65E-09
ZC3H7A,1.258800682,3.868501773,1.22E-10,3.69E-09
HTATSF1P2,2.12689663,3.643825793,1.25E-10,3.77E-09
USP32,1.437398237,5.748722059,1.27E-10,3.83E-09
MAN1A1,1.620705852,4.827787694,1.29E-10,3.87E-09
SPATC1,3.94362964,2.312937538,1.32E-10,3.96E-09
TRIB1,1.881747475,4.833046313,1.37E-10,4.08E-09
ATP7A,1.48380797,2.751990733,1.37E-10,4.10E-09
MAP2K6,2.111744769,4.519255868,1.38E-10,4.11E-09
SPOPL,1.546274119,3.627042938,1.40E-10,4.15E-09
UBR5,1.243209626,4.887134971,1.46E-10,4.33E-09
FLT3,2.899135662,2.078309405,1.48E-10,4.37E-09
UBXN7,1.110810365,4.011473371,1.48E-10,4.37E-09
GABRR2,1.982881833,2.418036978,1.55E-10,4.55E-09
AZIN1,1.565718261,4.491395525,1.57E-10,4.59E-09
NR3C1,1.290255989,4.969870693,1.63E-10,4.74E-09
SMPDL3A,2.603160634,2.809055627,1.66E-10,4.83E-09
SHOC1,2.589501997,3.160991201,1.83E-10,5.26E-09
KMT2D,1.439635518,6.683748249,1.88E-10,5.39E-09
ARFGEF1,1.410431617,4.641711787,1.90E-10,5.44E-09
APH1B,1.454064197,3.601304798,1.91E-10,5.46E-09
SERPINB1,1.900411906,7.694963949,1.92E-10,5.47E-09
TGFBR1,1.527265167,4.470069404,1.96E-10,5.57E-09
CREB5,1.838577157,6.467569262,2.01E-10,5.72E-09
GTDC1,1.451870047,3.407135904,2.02E-10,5.72E-09
MAFG,1.583884873,4.67831117,2.09E-10,5.90E-09
CFLAR,1.409117134,8.616960178,2.18E-10,6.12E-09
SLC8A1,1.971936236,3.849601315,2.18E-10,6.13E-09
TXNRD1,1.45446554,4.956711366,2.24E-10,6.27E-09
STX7,1.213598486,4.866995331,2.25E-10,6.27E-09
CLEC4D,2.940486149,3.875219182,2.37E-10,6.58E-09
OXSR1,1.241407408,4.317294559,2.60E-10,7.19E-09
SIRPA,1.859522335,7.995378072,2.73E-10,7.52E-09
SYNE1,1.500853101,5.862192358,2.75E-10,7.55E-09
HIF1A,1.778271582,5.72157833,2.79E-10,7.64E-09
H6PD,1.2856911,5.397077963,2.80E-10,7.66E-09
RAD23B,1.406882209,5.334374021,2.84E-10,7.74E-09
C11orf42,1.939391429,1.856535394,2.90E-10,7.86E-09
TMEM33,1.24529623,4.497890018,2.90E-10,7.86E-09
LARP4B,1.115565941,4.924104566,2.96E-10,7.99E-09
RAP2C,1.246313213,3.490164636,3.13E-10,8.40E-09
