,logFC,logCPM,PValue,FDR
VPS50,0.428253859,1.645649969,0.001255298,0.035965721
TXK,0.543862859,4.504916229,0.001258485,0.035965721
ZNF253,0.713479873,0.021256561,0.001259596,0.035965721
ZNF613,0.813294381,-0.556823431,0.001269882,0.035986063
EGR3,1.348714302,-0.895136333,0.00127046,0.035986063
AFF3,0.818382128,1.699602037,0.001288712,0.036089446
PAFAH2,0.482290524,1.610759477,0.001297434,0.036256219
LOC105377944,0.831185863,-0.196123374,0.001328222,0.036880661
INIP,0.481826978,1.476310408,0.001346058,0.037296904
ACBD4,0.653838964,0.947929398,0.00135838,0.037506173
FOSB,0.601481908,5.982616474,0.001370404,0.037506173
TMEM69,0.49352139,0.919189435,0.001399085,0.038172568
TRIP11,0.367738291,2.754290772,0.001401901,0.038172568
PHYKPL,0.36311329,4.303496314,0.001403874,0.038172568
GTPBP3,0.469087277,1.395222819,0.001408013,0.038205827
GIMAP7,0.602906435,4.943175576,0.001425737,0.038503361
RNF175,0.917321093,-1.207128542,0.001434616,0.038607953
RCN3,0.943001289,-0.473106331,0.001446147,0.038681482
N4BP2L2,0.344542889,4.818082529,0.001453225,0.038741251
ZNF607,0.915005723,-0.629241124,0.001454349,0.038741251
LOC105369747,0.921641832,-0.705896948,0.00146089,0.038757954
LIN9,0.638908125,-0.533046837,0.001471482,0.038960093
MBLAC2,0.794977788,-0.906745735,0.001488249,0.039166657
METTL21A,0.602955683,0.898212712,0.001499914,0.039349227
MFSD8,0.45100045,1.989478427,0.001508691,0.03946687
RPS4X,0.50825265,9.028183133,0.001517759,0.039548892
ARHGEF2,0.50365713,2.968287163,0.001523903,0.039548892
RBBP5,0.480662871,2.497006025,0.001524787,0.039548892
ZNF606,0.675719861,-0.006685655,0.001538313,0.039765551
ZNF574,0.673054002,2.617285454,0.001543323,0.039816523
EIF3L,0.41311589,6.610343409,0.001568484,0.040386144
CARNS1,0.404290978,1.913402368,0.00158023,0.040529355
DEGS2,0.95761416,-0.666680403,0.001588009,0.040649308
SLC7A6,0.390254022,4.026376038,0.001601209,0.040874677
EIF2S3B,0.715424675,2.047610911,0.001606278,0.040874677
SLC8B1,0.417269397,3.845944043,0.001647775,0.041647922
CLK4,0.456924592,2.793999922,0.001649265,0.041647922
EEF1G,0.413816135,7.728455731,0.001690087,0.041818095
AVL9,0.387143967,2.684405615,0.001695097,0.041818095
ZNF30,0.592997946,0.825308094,0.001700675,0.041818095
RBM12,0.366059554,3.304007706,0.001724468,0.042165811
CEP19,0.678554719,-0.184211982,0.001744376,0.042415194
ADAMTS1,1.87166529,-1.308347428,0.001772638,0.042674977
TLR10,1.408203798,-1.260558238,0.001773592,0.042674977
IL31RA,1.161083604,-1.593110641,0.001773875,0.042674977
BBS2,0.493482095,2.964172713,0.001777853,0.042674977
CRIP2,0.855624719,2.091011439,0.001781207,0.042677328
ORC3,0.419330341,2.295734987,0.001790852,0.04283011
VAMP1,0.46093513,3.972288462,0.001813301,0.043209321
ZNF2,0.74040043,-0.370484161,0.001829683,0.043363165
WFS1,0.763287494,-0.149893281,0.001847589,0.043478688
CCR7,0.850281523,5.609089989,0.001861242,0.043478688
TRMT13,0.517443557,1.345600256,0.001861465,0.043478688
ZZZ3,0.434691643,2.507590165,0.00186675,0.043478688
BBS1,0.56055513,0.994797798,0.001870729,0.043478688
BMS1,0.352153314,2.924880663,0.00187105,0.043478688
FBXL4,0.391706328,2.155611936,0.00189007,0.043784344
TTC5,0.475492516,1.71144086,0.001893119,0.043784344
MKS1,0.658029343,1.212405514,0.001894226,0.043784344
ERF,0.712330381,-0.070755609,0.001907819,0.043971473
GCNT4,0.861596468,2.917497886,0.0019153,0.044038458
ATF1,0.429287073,1.372900706,0.001920169,0.044038575
RNASEH1-DT,0.608135952,-0.102250214,0.001925386,0.044038575
ZNF343,0.625384493,0.979005201,0.001949212,0.044351349
CHCHD7,0.354336211,3.117727645,0.001980584,0.044780797
FBXL20,0.411528693,3.005127831,0.001981754,0.044780797
TMEM184C,0.485595407,1.741008549,0.002007152,0.045276655
SNORD79,1.01325876,-1.316327159,0.00201197,0.045307354
LOC729966,1.440779826,-1.293008637,0.002017532,0.045354682
LINC01004,0.485728987,1.396399948,0.002045016,0.045717228
KAT14,0.471833986,1.413222011,0.002047613,0.045717228
ZRSR2,0.561396716,1.019090581,0.002085145,0.046234399
